ID;name;Food Group;Calories;Fat (g);Protein (g);Carbohydrate (g);Sugars (g);Safety Limit (g)
89;Clementine;Fruits;47;0,2;0,9;3;9;86
90;Cherries;Fruits;52;0,3;1;4;8;20
91;Figs;Fruits;43;0,3;1,3;5,5;4;30
92;Grapes;Fruits;66;0,4;0,6;1;16;150
93;Kiwi;Fruits;60;0,5;1,1;6;9;150
94;Mango;Fruits;59;0,4;0,8;1;14;40
95;Pear;Fruits;57;0,1;0,4;5;10;160
96;Strawberry;Fruits;32;0,3;0,7;3,1;4,9;150
97;Watermelon;Fruits;30;0,2;0,6;2;6;15
98;Plum;Fruits;46;0,3;0,7;1,1;9,9;10
99;Rasberry;Fruits;52;0,7;1,2;7,6;4,4;60
100;Pineapple;Fruits;50;0,1;0,5;3;10;140
